"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"58","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X36_P1","X3_by_X36_P1","X8_P1","X50_P1","X36_by_X50_P1","X3_by_X50_P1","X9_P4","X1_by_X3_P3","X38_P3","X50_by_X8_P1","X19_P2","X36_by_X9_P3","X23_P1","X23_by_X36_P1"
"59","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X48_P1","X3_by_X48_P1","X8_P1","X28_P1","X28_by_X48_P1","X12_P4","X23_P1","X3_by_X8_P1","X32_P1","X47_P3","X1_by_X3_P3","X23_by_X3_P1","X28_by_X32_P1","X42_P3"
"60","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X13_P1","X13_by_X3_P1","X8_P1","X43_P1","X3_by_X8_P1","X1_by_X3_P3","X13_by_X43_P3","X38_P4","X31_P3","X47_P1","X13_by_X47_P1","X47_by_X8_P3","X16_P1","X33_P4"
"61","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X48_P1","X3_by_X48_P1","X8_P1","X41_P1","X1_by_X3_P3","X15_P1","X46_P4","X50_P3","X3_by_X8_P1","X48_by_X8_P1","X16_P3","X41_by_X48_P1","X24_P1","X24_by_X3_P1"
"62","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X1_by_X3_P3","X17_P1","X17_by_X3_P1","X8_P1","X36_P1","X3_by_X36_P1","X18_P1","X18_by_X3_P1","X40_P4","X32_P1","X19_P3","X18_by_X32_P1","X19_by_X3_P3","X3_by_X32_P1"
"63","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X33_P1","X3_by_X33_P1","X1_by_X3_P3","X8_P3","X3_by_X8_P1","X30_P1","X32_P4","X35_P1","X15_P3","X33_by_X8_P1","X38_P2","X3_by_X35_P1","X3_by_X30_P1","X9_P1"
"64","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X4_P1","X3_by_X4_P1","X8_P1","X48_P1","X3_by_X48_P1","X4_by_X48_P1","X1_by_X3_P3","X40_P4","X36_P1","X26_P3","X3_by_X36_P1","X25_P1","X25_by_X48_P3","X25_by_X3_P1"
"65","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X1_by_X3_P3","X6_P1","X3_by_X6_P1","X8_P1","X32_P1","X3_by_X32_P1","X32_by_X6_P1","X21_P4","X34_P3","X14_P1","X14_by_X6_P1","X3_by_X34_P3","X14_by_X3_P1","X44_P4"
"66","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X37_P1","X3_by_X37_P1","X8_P3","X37_by_X8_P1","X1_by_X3_P3","X3_by_X8_P1","X30_P1","X12_P4","X25_P3","X47_P1","X32_P3","X3_by_X47_P1","X18_P1","X37_by_X47_P1"
"67","mu_t","X1_P3","X5_P2","X3_P3","X3_by_X5_P2","X1_by_X5_P1","X28_P1","X8_P1","X28_by_X3_P1","X39_P1","X16_P1","X41_P4","X3_by_X39_P1","X28_by_X39_P1","X21_P3","X1_by_X3_P3","X21_by_X3_P3","X39_by_X8_P1","X18_P2","X4_P1"
"68","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X13_P1","X8_P1","X13_by_X3_P1","X14_P1","X14_by_X3_P1","X26_P1","X23_P4","X37_P1","X49_P3","X1_by_X3_P3","X13_by_X23_P3","X7_P1","X24_P3","X42_P1"
"69","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X23_P1","X1_by_X3_P3","X8_P3","X3_by_X8_P1","X12_P1","X12_by_X3_P1","X2_P1","X7_P4","X2_by_X3_P1","X2_by_X8_P1","X12_by_X2_P3","X2_by_X23_P1","X47_P3","X24_P1"
"70","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X1_by_X3_P3","X25_P1","X25_by_X3_P1","X8_P1","X40_P1","X37_P1","X3_by_X40_P1","X44_P4","X19_P1","X33_P3","X19_by_X3_P1","X3_by_X33_P3","X19_by_X25_P1","X25_by_X40_P1"
"71","mu_t","X1_P3","X5_P2","X3_P3","X3_by_X5_P2","X1_by_X5_P1","X1_by_X3_P3","X8_P1","X24_P1","X24_by_X3_P1","X11_P1","X11_by_X24_P1","X50_P4","X11_by_X3_P1","X10_P3","X44_P1","X12_P1","X10_by_X3_P3","X3_by_X44_P1","X26_P4"
"72","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X1_by_X3_P3","X48_P1","X3_by_X48_P1","X8_P1","X4_P1","X3_by_X4_P1","X28_P1","X4_by_X8_P3","X40_P4","X3_by_X8_P1","X13_P1","X46_P3","X13_by_X3_P1","X13_by_X28_P1"
"73","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X36_P1","X3_by_X36_P1","X8_P1","X31_P1","X33_P1","X1_by_X3_P3","X3_by_X33_P1","X31_by_X33_P3","X10_P4","X20_P3","X3_by_X31_P1","X33_by_X36_P1","X2_P3","X27_P4"
"74","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X32_P1","X3_by_X32_P1","X8_P1","X2_P1","X34_P4","X16_P1","X16_by_X3_P1","X16_by_X32_P1","X38_P1","X2_by_X38_P1","X33_P2","X31_P3","X1_by_X3_P3","X43_P3"
"75","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X1_by_X3_P3","X16_P1","X8_P1","X16_by_X3_P1","X39_P1","X16_by_X39_P1","X43_P4","X3_by_X39_P1","X22_P1","X20_P3","X6_P1","X16_by_X6_P1","X50_P3","X3_by_X6_P1"
"76","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X42_P1","X3_by_X42_P1","X8_P1","X18_P1","X18_by_X42_P1","X18_by_X3_P1","X1_by_X3_P3","X43_P3","X30_P4","X42_by_X8_P1","X35_P3","X32_P1","X35_by_X5_P1","X39_P4"
"77","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X40_P1","X3_by_X40_P1","X8_P1","X21_P1","X1_by_X3_P3","X37_P1","X19_P4","X21_by_X40_P3","X3_by_X37_P1","X37_by_X40_P1","X37_by_X8_P3","X2_P4","X21_by_X37_P1","X21_by_X3_P1"
"78","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X1_by_X3_P3","X22_P1","X8_P1","X22_by_X3_P1","X33_P1","X3_by_X33_P1","X41_P1","X33_by_X41_P1","X44_P3","X28_P4","X3_by_X41_P1","X22_by_X33_P1","X3_by_X44_P3","X7_P3"
"79","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X22_P1","X8_P1","X22_by_X8_P1","X22_by_X3_P1","X1_by_X3_P3","X2_P1","X2_by_X22_P1","X38_P3","X48_P4","X3_by_X8_P1","X14_P3","X2_by_X8_P1","X14_by_X38_P3","X27_P1"
"80","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X37_P1","X3_by_X37_P1","X8_P1","X30_P1","X1_by_X3_P3","X43_P1","X3_by_X43_P1","X29_P1","X38_P4","X29_by_X3_P1","X30_by_X38_P3","X27_P1","X23_P3","X50_P1"
"81","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X16_P1","X16_by_X3_P1","X8_P1","X16_by_X8_P1","X9_P1","X38_P2","X1_by_X3_P3","X16_by_X9_P1","X28_P3","X37_P4","X3_by_X8_P1","X8_by_X9_P1","X19_P3","X34_P3"
"82","mu_t","X1_P3","X5_P2","X3_P3","X3_by_X5_P1","X1_by_X3_P3","X1_by_X5_P1","X36_P1","X8_P1","X21_P1","X21_by_X3_P1","X42_P1","X24_P4","X42_by_X8_P1","X24_by_X3_P2","X36_by_X42_P3","X3_by_X42_P1","X30_P3","X21_by_X42_P1","X3_by_X8_P1"
